,id,name,com1,com2,Segment K-means PCA
168,1FnTOwM5cW5N9wzCWziLKC,La Ronde De Nuit,1.8186515484288615,-1.1024349254605479,1
173,1QDTYyfndMN9SDtRKDv9XO,Pas Pour Moi,1.8697425219118389,-0.9492641555773385,1
175,1ZYRk4U7EuJwdRZNHpEBIz,Éléonore,1.9717051960895962,-0.8680738380108151,1
177,1lia44teZBfbv0PnPkc5dK,Machinalement,2.245655829599075,-0.5360858201994322,1
178,1v0HtSUeQOu3ba28pvYE5y,Chicago (That Toddlin' Town),0.6797235106413083,-1.402263608908231,1
182,2BVWvGSdgUZtC2La5P3Jtv,L'amour Au Clair De Lune,1.82263444386214,-0.46413755845283583,1
186,2UU5t5j325ofKGcg7oUQNh,Sin Amor - Remasterizado,2.215345582214527,-1.647972524505685,1
190,3aynsWyvRwa1r5ekqaWxD3,Mirage,2.0859932297378494,-0.3520954094253266,1
191,3c8AbdpLH4SSbTHsN71XDN,Un Placer - Remasterizado,3.014262009518151,-0.9275103228666869,1
192,3d8zXYhG3sFx4uL9vv8IRu,Le Tango Neurasthénique,1.7860044550607597,-1.409296128702969,1
195,4CjnVzvSu86vqI5gY8SjPx,Elle Vendait Des P'tits Gateaux,1.3606147482463382,-2.0587714170146794,1
197,4iy1fsAHBgR2STJjPDhjY2,Mes Parents Sont Venus Me Chercher,2.041757881664476,-0.6523063525036478,1
198,4sAPfFxCxKIF571z6JwL4r,De Mil Amores - Remasterizado,2.4829562077665233,-0.5411997364869403,1
200,4vV7uBcF2AnjNTOejBS5oL,L'enfer,1.946514037013707,-0.6520053193934969,1
203,598LlBn6jpEpVbLjmZPsYV,Graphite,0.7615497105431421,-0.17819453245639943,1
204,5P35CyOEQiMqf8Hd6Pty5p,Méfiez Vous D'anatole,1.7860749935331015,-1.7839178751688127,1
209,5wfVO3v2ZiWmQvJuRgJANe,Monigote - Remasterizado,1.9386012844828067,-1.7185736987492353,1
211,63IcPgVIW0PWeJTaIY7GCu,Le Petit Amant,1.6706756264104887,-1.5654310112077954,1
214,6MD9XSLD4VmVI5SFRPm6By,Car Loans,1.2388820656557626,-0.48542021600181445,1
219,7p94hrYktZStgIu6TCj3cZ,Antoine,2.1143246619852345,-0.8644379802923603,1
220,7yWdEDmuqweoRkhZeftRtR,Sur La Pointe Des Pieds,1.9587349335839657,-1.3489275144192547,1
221,3eMrYc092k7SIJfWJ7oasR,Weather Bird,1.4397091463868021,-1.4615760184067534,1
224,7lRFR5GJCxK87ZbVMtQSeS,Ain't Misbehavin',1.0182879366427788,-0.9464661123663571,1
225,0V1iYWPXCBTaB6dhbiprGF,Send Me to the 'Lectric Chair,1.1634419325096204,-0.9116374647722169,1
226,6qRvnXftofjYJm1Mg98UWL,Need a Little Sugar in My Bowl,1.9001704009068863,-0.47557456414332,1
227,6sOKopKyVWwEJKh8zztYp5,Young Woman's Blues,1.4286952698503452,-0.030104868177675048,1
228,6XTvSCqGLLH0vzQQRn55hz,"Empty Bed Blues, Pt. 1",1.6153177609084874,-0.6784187396923694,1
230,1yjck0Owf0HfhY5kWHiXIQ,Me and My Gin,1.6944939488703867,-0.6481262114853368,1
232,0rUf1j43orpfi6f4LbVo8D,Careless Love,1.4483975393244815,-0.07980763622717992,1
234,1xEEYhWxT4WhDQdxfPCT8D,Snake Rag,1.6129677890605134,-1.007174488460151,1
237,6N1wS1e5bMOubmVtkDLNrt,Gimme a Pigfoot and a Bottle of Beer,1.3477238219044962,-0.9146886981936436,1
239,3U6L5KW48YOsksN9Qvlydl,I've Got The World On A String,1.7083940712157928,-0.22896537523114624,1
241,08XPnovoMlLsFB3LDGq0rX,Muggles,2.1305482576665953,-0.3662771490886469,1
242,5WlMyDvyQedom0kQ3MCTow,Lazy River,1.5091322598097447,-0.4359222384692493,1
245,1h0wyCVd12PDSd6CLoGaVL,Preachin' the Blues,1.3571299394413812,-0.8307147176559009,1
250,7qxfKQ5qlcunexI4f0qifa,There'll Be a Hot Time in the Old Town Tonight,1.1485590777360237,-1.0354410889641716,1
251,0Vl2DO5U6FjgBpzCtBN3OA,Everybody Loves My Baby,1.724170225557406,-1.290090499502869,1
252,1mngGai1eXbHcBXuA6Z4jZ,I'm A Ding Dong Daddy,1.4830994280903174,-1.359596214716167,1
253,2CStrJiuFeHNS84A3kaT8s,Black Mountain Blues,1.9908015416212341,-0.65516684102199,1
254,2ivh0kwd7QIViw6YqDPdBA,Blue Yodel No. 9,1.2552866400424805,-1.3674019749102824,1
255,1L0puqUCoINHyHjzzWXrHC,A Monday Date,1.0115627084653152,-2.390118877997478,1
256,20VPM7ePvpxTQyZFjOiP1g,Beau Koo Jack,1.5445744797081191,-1.4749430713944756,1
257,2AYdjRjSm49s6MFZiSlcSX,"Empty Bed Blues, Pt. 2",1.8069548884510247,-0.9393734888490632,1
258,4FINjzgcPjqR2PPpnWrCKF,Heebie Jeebies,1.4497085342359826,-0.9188979421404371,1
260,4t1G1nGmPOms95TB9wz8FF,Naughty Man,1.4969670907873251,-1.4523150330006847,1
261,5bfjNeQIU43IJPNY6c56fB,Hotter Than That,1.9851161179249681,-1.5951797261082632,1
262,5c6hPSOnuiLnTve5b9s7ZS,Potato Head Blues,1.089032197563996,-1.5758131289401032,1
263,02smo7WfO95Ww8MZw06h1p,Gut Bucket Blues,1.8719900788117625,-0.7370714555115009,1
265,1v6v5llnekLbreJYIRfkKc,Chicago Breakdown,1.746323175986195,-0.944871129545662,1
266,2cmUadaXBixJGY2x87EMOa,Anybody Here Want to Try My Cabbage?,1.891045170913335,-0.9908173456521224,1
267,300WVfsVnOUJM2KXAm9IGS,Stardust,1.6775135267487291,-1.2298329491842102,1
268,3DzcB6weYL3L7oRNmsJCaV,No One Else But You,1.0884509767498485,-0.920327017301918,1
270,3tlygdsn8Jl6D0XA7RRslx,Sweethearts On Parade,1.6509301839146981,-0.8382605883695017,1
272,4m1Th0JSQkevDsHiOpoxlQ,Basin Street Blues - rec. 1928,1.506204815502266,-0.8000573384634312,1
273,4qTkOBmwGFamB3V9QEFwDS,When Your Lover Has Gone,1.7176099575324064,-0.22591710237561904,1
274,4ubnmGMXNLgQpj5YKoldMm,Sugar Foot Stomp,1.4840466308155227,-1.814913743257291,1
275,4yZ7B7yoMjDMH4oInYA36l,Mahogany Hall Stomp,1.4989380568141237,-0.8789269742201452,1
277,5EFXgEnibXPumWosZtJqkx,I Can't Believe That You're In Love With Me,1.3946136743426663,-0.928297677792364,1
278,5WfYFtwzOo8Ne7DA1qhtWl,Cake Walking Babies (From Home),1.7947071175729037,-1.0470864290154416,1
279,5eXOIVUkW17FqnEoLR2wTX,Stardust,1.728367978575965,-0.7340852866270846,1
280,5pIiw01BoIPnkQQI1AZHQL,T.N.T.,0.9380022553342028,-1.9175546920466688,1
281,6azxqS9u7eO5DslqJCWMNd,Knockin' A Jug - 78 rpm Version,1.8284657644563123,-1.6814523337442597,1
282,06Q9isDLNDaHJNPa5lM4Cg,Struttin'With Some Barbecue,2.1728246167344945,-1.3558901237299628,1
284,180gKK9WXgetU7EAxhCn7t,You Can't Shush Katie,1.583441446583152,-1.3663266548574475,1
285,18NiVMY4Fz6MjnhrX8xFiM,That Rhythm Man,1.4799526255566493,-1.3794563203101127,1
287,1t2zq9TXj7mlSX8fcKwCbm,Blue Again,1.4741652762592796,-0.5357491781369874,1
288,2DAK09fP0bobALaArOEeCI,(What Did I Do to Be So) Black and Blue,1.7841187893940451,-0.5471675547924714,1
289,2GnYkuVM8jQh4sFGGmDfcV,Weary Blues,1.7925253066870033,-1.5283325486408283,1
290,2SRy24tTjBERSmb3FHqzdb,On The Sunny Side Of The Street - Part 1,1.7371353051518414,-0.7232020290006222,1
291,2gwppa6p7HymxbyxEooUNI,Two Deuces,1.7404675035303714,-0.9552589956343027,1
292,2n13QpmPEINmoTLUAlLCd7,King Of The Zulas,1.965921877500345,-0.6936986668359393,1
293,2nwxT2BLHn5NjQj0wuEXAu,Between The Devil And The Deep Blue Sea,1.4421386171162645,-1.0917983271990073,1
294,31N4so4BNr6e0Hz2NtmU33,"Stomp Off, Let's Go",1.8119415271954453,-2.1929464756346304,1
295,377bagPbNQx6K6RKjuUFQ3,Skip The Gutter,2.8014323713563853,-0.9094969570314109,1
296,3GuVFPnSVW036wmwUrXQ9Q,Changeable Daddy Of Mine,1.8181667109621173,-0.966825401386843,1
297,3MUeRkKpLxxyRFzqMTj1HY,"Chinatown, My Chinatown",0.7153167805582762,-1.0946635939874865,1
298,3jic1HtQwJwaKnBL4ykuwZ,My Sweet,1.1708843925167989,-1.3116725478333469,1
299,3pcaFPeiPvuLD46XTuVNiF,Symphonic Raps,1.8292857873001425,-1.52307949872702,1
300,3qByw3YrQnpjMttThvwclS,The Bridwell Blues,2.085168377924502,-1.5772262858029635,1
302,43WZyNbzOJOnKQStu8if8E,St. Louis Blues - Alternate Take B,1.039357347752465,-1.62892097662315,1
303,46ddI0x8tLiOjDFqb2TQ5R,Papa De Da Da,2.0768686413905235,-1.0415856615581855,1
304,4Bk8r390pyafdSPtWoUKwz,I Must Have That Man,1.2927881149839582,-1.7397815980786133,1
305,4Ewzp7BFfvcXofZnvrYwFx,I Can't Give You Anything But Love,2.150779331611481,-0.58150011197496,1
306,4PD69KQwh9GccLW2647tTL,Gully Low Blues,1.7665804786854085,-1.253124016479825,1
307,4j1w8LCA1MLSnTYxMVXQ63,Savoy Blues,2.3333164478991293,-0.9167903353740506,1
308,5EMxMmB4iSzA8jMNgLcTtO,Song Of The Vipers,1.766648504848363,-0.8455051893822133,1
309,5SM5voPROPhpgLuqRpGnNp,Good Time Flat Blues,2.1239462095941466,-0.3856877327325555,1
310,5rgmvqVTH38BKIhzEHanMq,Low Land Blues,1.9865400778430962,-0.39841846536575365,1
311,6JLKiy1LMbmYY8JOM38UR9,Cornet Chop Suey,2.0908116025367023,-0.6355304800711955,1
312,6TBNeFMHsIarzHz8cz74KA,Too Busy,1.2286268899212527,-1.4252879017520683,1
313,7H5X09Fl9MN0FhICH4TSF6,Listen To Ma,2.045627304496189,-0.3737534911285627,1
